ObjectID,district_id,state,district_name,longitude,latitude,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,other_new,other_cumulative,total_all,Link
371,1912510,IA,Gilbert Comm School District,-93.641734,42.106767,,4,,,,,4,https://docs.google.com/document/d/1CQ0UVzyaKzILwaiEMZ1MjtwMXy6DHvBwpiCn-fxetf4/edit
373,1912660,IA,Gladbrook-Reinbeck Comm School District,-92.599614,42.318447,,,,,,,0,
375,1912750,IA,Glidden-Ralston Comm School District,-94.728205,42.06003,,1,,2,,,3,
379,1912810,IA,Graettinger-Terril Comm School District,-94.75069,43.23729,,,,,,,0,
384,1913380,IA,H-L-V Comm School District,-92.293205,41.729703,,,,2,,,2,
471,1913660,IA,Hartley-Melvin-Sanborn Comm School District,-95.486788,43.184361,,,,,,,0,https://www.facebook.com/HMS-Community-School-District-666021306920699
477,1914010,IA,Highland Comm School District,-91.540676,41.409539,,1,,,,,1,https://www.highlandhuskies.org/page/covid19_stats/
481,1914280,IA,Howard-Winneshiek Comm School District,-92.10298,43.373468,,1,,,,,1,https://www.howard-winn.k12.ia.us/rtl
491,1914370,IA,Humboldt Comm School District,-94.20198,42.72248,,1,,,,,1,
606,1914580,IA,Independence Comm School District,-91.907796,42.468466,,12,,8,,,20,https://docs.google.com/document/d/1QbsyC0IxaDcyp0wHKlg5SO7AAItywD4HP94EFpbjZrA/edit?fbclid=IwAR1ci219eylHbrDfJTiFdDU8Lm2dfiVYFiTQVW-I8Nn9ZwJ7s08GC3CSX80
665,1914640,IA,Indianola Comm School District,-93.545201,41.357997,,2,,2,,,4,https://www.indianola.k12.ia.us/2020/09/icsd-positive-covid-19-cases/
669,1914700,IA,Iowa City Comm School District,-91.510148,41.680206,,30,,25,,,55,https://www.iowacityschools.org/Page/18796
673,1914850,IA,Iowa Valley Comm School District,-92.066578,41.798701,,,,1,,,1,
677,1915450,IA,Johnston Comm School District,-93.70361,41.667004,,13,,2,,,15,https://www.johnstoncsd.org/district/covid-19-updates/
681,1915630,IA,Keokuk Comm School District,-91.390217,40.410985,,2,,4,,,6,
685,1915750,IA,Kingsley-Pierson Comm School District,-95.96655,42.58819,,1,,,,,1,
689,1915840,IA,Knoxville Comm School District,-93.101134,41.319006,,24,,14,,,38,https://www.knoxville.k12.ia.us/updates
777,1916420,IA,Laurens-Marathon Comm School District,-94.851338,42.852018,,,,1,,,1,
778,1916530,IA,Le Mars Comm School District,-96.181063,42.781275,,2,,,,,2,
779,1916620,IA,Lenox Comm School District,-94.555902,40.875286,,1,,1,,,2,
780,1916680,IA,Lewis Central Comm School District,-95.818522,41.221109,,8,,1,,,9,
781,1917220,IA,Linn-Mar Comm School District,-91.599373,42.051286,,10,,3,,,13,https://www.linnmar.k12.ia.us/covid-19-information/?fbclid=IwAR0cmOi7dUKVNG09VwnwEVtVHOorPRxrQ4D5MkMIkodsXsAvn96-_LlINfQ
782,1917550,IA,Lone Tree Comm School District,-91.425705,41.48476,,,,,,,0,https://docs.google.com/spreadsheets/d/106uzsG7RaQMUpBlSm9XKDgInG0mQ9KPBiCg7uB6uS_o/edit#gid=1473376475
