district_id,latitude,longitude,county_name,student_count,teacher_count,school_count,district_name,state,date,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,new_unspecified_cases,cumulative_unspecified_cases,source
0500001,34.2473999,-091.3745432,Arkansas County,1254,106,4,DeWitt School District,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500002,,,Calhoun County,0,0,1,SAU-TECH CAREER CENTER,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500005,,,Boone County,,,0,OZARKS UNLITD. RESOURCE COOP,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500006,33.6126116,-092.1272377,Bradley County,1569,120,5,Warren School District,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500008,,,Clark County,,,0,DAWSON EDUCATION SERVICE COOP,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500009,36.3710105,-090.6127243,Clay County,882,71,3,Corning Public Schools,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500011,,,Conway County,,,0,ARCH FORD EDUC. SERVICE COOP,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500012,35.7299504,-090.4132426,Craighead County,800,66,3,Riverside School District,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500013,,,Drew County,,,0,SOUTHEAST ARK. EDUC. COOP,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500014,,,Franklin County,,,0,WESTERN ARKANSAS COOP,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500015,34.3021859,-092.3973196,Grant County,4171,252,7,Sheridan School District,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500016,36.2011066,-090.4204621,Greene County,804,69,2,Marmaduke School District,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500017,36.1078289,-090.5866176,Greene County,3337,218,7,Paragould School District,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500018,,,Hempstead County,,,0,SOUTHWEST ARK. COOP,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500019,35.8005996,-091.6994432,Independence County,3277,230,5,Batesville School District,AR,2020-09-07,,16,,21,10,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500020,35.5835693,-091.6491238,Independence County,561,61,2,Midland School District,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500021,36.1888930,-091.8544768,Izard County,540,64,3,Izard Cty Consolidated Schools,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500022,,,Izard County,,,0,NORTH CENTRAL ARK. EDUC COOP,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500023,35.5101743,-091.2012825,Jackson County,1227,129,2,Newport School District,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500024,,,Jefferson County,0,0,0,ARK. RIVER EDUC SERVICE COOP,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500025,,,Jefferson County,0,0,0,ARKANSAS CORRECTIONAL SCHOOLS,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500026,34.1636116,-091.8986344,Jefferson County,3299,231,6,Pine Bluff School District,AR,2020-09-07,,23,,6,10,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500027,,,Lawrence County,,,0,NORTHEAST ARK. EDUC. COOP,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500028,33.9684668,-091.8081706,Lincoln County,1543,107,3,Star City School District,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500029,35.9127695,-090.0467763,Mississippi County,1276,115,2,Gosnell School District,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500030,33.5844424,-093.3048506,Nevada County,400,51,2,Nevada School District,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500031,,,Ouachita County,,,0,SOUTH CENTRAL SERVICE COOP,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500032,33.7364934,-092.5621022,Ouachita County,483,45,2,Bearden School District,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500033,,,Phillips County,,,0,GREAT RIVERS EDUC. SERV. COOP,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500034,,,Poinsett County,,,0,CROWLEY'S RIDGE EDUCATION COOP,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
0500035,,,Pulaski County,94,33,2,ARK. SCHOOL FOR THE BLIND,AR,2020-09-07,,,,,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09072020.pdf
